xmin,ymin,xmax,ymax,Object,label
583,112,801,136,PO Box 3149,Address
1392,114,1588,161,Invoice,Document_type
432,148,545,200,CIL,NA
583,150,976,182,"Canyon Lake, TX 78133",NA
582,198,847,218,830-935-4430 Phone,NA
119,212,548,238,INDUSTRIAL SERVICES INC.,NA
1285,207,1338,228,Date,NA
1449,206,1550,226,Invoice #,NA
583,228,820,248,830-935-4048 FAX,NA
260,268,547,285,SPECIALIZING IN SOLUTIONS,NA
1255,270,1367,291,9/13/2019,NA
1464,270,1534,291,12379,NA
183,382,253,402,Bill To,NA
944,381,1031,406,Ship To,NA
157,433,333,457,Appleton Group,NA
920,433,1096,458,Appleton Group,NA
158,461,417,486,Attn: Accounts Payable,NA
920,460,1245,481,13639 Aldine Westfield Road,NA
157,489,370,514,9377 West Higgins,NA
921,489,1135,513,"Houston, TX 77039",NA
158,518,383,542,"Rosemont, IL 60018",NA
158,546,410,566,Need to email invoices,NA
162,670,349,690,Customer Phone,NA
446,670,588,690,800-621-1506,Phone number 
177,707,334,727,Customer Fax,NA
453,707,581,727,2817743755,NA
483,756,629,778,P.O. Number,NA
756,756,828,777,Terms,NA
986,756,1036,782,Ship,NA
1193,757,1229,778,Via,NA
1420,756,1490,777,F.O.B.,NA
470,820,639,841,240100319949,NA
756,820,830,841,Net 30,NA
956,820,1066,841,9/11/2019,NA
1161,820,1261,840,delivered,NA
166,882,258,907,Quantity,NA
378,882,494,903,Item Code,NA
787,882,911,906,Description,NA
1201,882,1321,903,Price Each,NA
1443,882,1530,903,Amount,NA
289,933,315,953,10,NA
333,932,521,953,Industrial Adhesi,NA
556,933,917,954,Coremaster FD CM30 12/Carton,NA
1290,932,1365,954,106.20,NA
1478,933,1574,956,"1,062.00",NA
302,961,313,981,1,NA
332,960,513,986,Freight Cost Inc,NA
557,961,637,986,Freight,NA
1303,961,1366,981,66.00,NA
1513,961,1575,981,66.00,NA
106,1820,427,1845,Thank you for your business.,NA
1083,1837,1185,1871,Total,NA
1466,1857,1575,1880,"$1,128.00",Total_amount 
