xmin,ymin,xmax,ymax,Object,label
196.1298828125,88.74121093749999,290.9619140625,112.44921875000003,NOTICE,not_relevant
284.49609375,88.74121093749999,329.7568359375,114.60449218750004,OF,not_relevant
325.4462890625,86.58593749999999,467.6943359375,112.44921875000003,INFRACTION.,not_relevant
467.6943359375,84.43066406249997,528.0419921875,108.138671875,YOU,not_relevant
519.4208984375,84.43066406249997,592.7001953125,108.138671875,MUST,not_relevant
590.544921875,84.43066406249997,706.9296875,108.138671875,RESPOND,not_relevant
702.619140625,82.27539062499996,739.2587890625,110.29394531250001,30,not_relevant
732.79296875,84.43066406249997,806.072265625,108.138671875,DAYS,not_relevant
799.6064453125,84.43066406249997,877.1962890625,108.138671875,FROM,not_relevant
870.73046875,84.43066406249997,924.6123046875,110.29394531250001,THE,not_relevant
920.3017578125,84.43066406249997,989.2705078125,110.29394531250001,DATE,not_relevant
984.9599609375,86.58593749999999,1077.63671875,110.29394531250001,ISSUED,not_relevant
1129.36328125,88.74121093749999,1174.6240234375,114.60449218750004,Pay.,not_relevant
1168.158203125,88.74121093749999,1228.505859375,112.44921875000003,thave,not_relevant
1217.7294921875,86.58593749999999,1299.6298828125,112.44921875000003,endosed,not_relevant
1293.1640625,88.74121093749999,1312.5615234375,110.29394531250001,a,not_relevant
1306.095703125,90.896484375,1362.1328125,112.44921875000003,check,not_relevant
1353.51171875,90.896484375,1381.5302734375,112.44921875000003,or,not_relevant
1372.9091796875,90.896484375,1435.412109375,114.60449218750004,money,not_relevant
1426.791015625,90.896484375,1482.828125,116.75976562499996,order,not_relevant
1474.20703125,90.896484375,1538.865234375,114.60449218750004,inU.S.,not_relevant
1530.244140625,93.05175781250001,1586.28125,114.60449218750004,funds,not_relevant
1581.970703125,90.896484375,1609.9892578125,112.44921875000003,for,not_relevant
1607.833984375,90.896484375,1642.318359375,114.60449218750004,the,not_relevant
1633.697265625,90.896484375,1702.666015625,114.60449218750004,amount!,not_relevant
1696.2001953125,93.05175781250001,1745.771484375,112.44921875000003,listed.,not_relevant
1745.771484375,93.05175781250001,1849.224609375,116.75976562499996,lunderstandt,not_relevant
1840.603515625,93.05175781250001,1879.3984375,118.91503906249997,this,not_relevant
1870.77734375,93.05175781250001,1907.4169921875,121.07031249999999,wil,not_relevant
1900.951171875,99.51757812499996,1928.9697265625,118.91503906249997,go,not_relevant
340.533203125,105.9833984375,385.7939453125,131.84667968750003,OR,not_relevant
377.1728515625,103.82812499999999,415.9677734375,131.84667968750003,33,not_relevant
409.501953125,105.9833984375,480.6259765625,129.69140625000003,DAYS,not_relevant
478.470703125,105.9833984375,556.060546875,129.69140625000003,FROMT,not_relevant
547.439453125,103.82812499999999,601.3212890625,129.69140625000003,THE,not_relevant
597.0107421875,103.82812499999999,668.134765625,129.69140625000003,DATE,not_relevant
663.82421875,103.82812499999999,717.7060546875,129.69140625000003,THE,not_relevant
713.3955078125,103.82812499999999,808.2275390625,129.69140625000003,NOTICE,not_relevant
801.76171875,103.82812499999999,836.24609375,131.84667968750003,IS,not_relevant
829.7802734375,103.82812499999999,928.9228515625,129.69140625000003,MAILED.,not_relevant
334.0673828125,129.69140625000003,385.7939453125,155.55468749999997,This,not_relevant
381.4833984375,131.84667968750003,407.3466796875,155.55468749999997,is,not_relevant
403.0361328125,131.84667968750003,426.744140625,155.55468749999997,a,not_relevant
420.2783203125,131.84667968750003,551.75,155.55468749999997,non-criminal,not_relevant
549.5947265625,129.69140625000003,629.33984375,155.55468749999997,offense,not_relevant
622.8740234375,127.53613281250001,663.82421875,157.7099609375,for,not_relevant
657.3583984375,129.69140625000003,726.3271484375,155.55468749999997,which,not_relevant
719.861328125,134.00195312499997,767.27734375,159.865234375,you,not_relevant
758.65625,127.53613281250001,842.7119140625,159.865234375,cannot,not_relevant
834.0908203125,129.69140625000003,870.73046875,159.865234375,go,not_relevant
862.109375,129.69140625000003,894.4384765625,157.7099609375,to,not_relevant
887.97265625,129.69140625000003,931.078125,159.865234375,jail.,not_relevant
441.8310546875,185.72851562499997,532.3525390625,211.591796875,respond,not_relevant
525.88671875,183.57324218750003,562.5263671875,211.591796875,or,not_relevant
556.060546875,185.72851562499997,635.8056640625,211.591796875,appear,not_relevant
629.33984375,183.57324218750003,668.134765625,209.4365234375,for,not_relevant
661.6689453125,183.57324218750003,722.0166015625,209.4365234375,court,not_relevant
717.7060546875,185.72851562499997,816.8486328125,211.591796875,hearings:,not_relevant
1131.5185546875,103.82812499999999,1191.8662109375,129.69140625000003,driving,not_relevant
1183.2451171875,103.82812499999999,1260.8349609375,129.69140625000003,recordif,not_relevant
1252.2138671875,103.82812499999999,1312.5615234375,127.53613281250001,"trafic",not_relevant
1306.095703125,105.9833984375,1331.958984375,127.53613281250001,is,not_relevant
1325.4931640625,105.9833984375,1405.23828125,129.69140625000003,checked.,not_relevant
1403.0830078125,110.29394531250001,1437.5673828125,129.69140625000003,DO,not_relevant
1431.1015625,110.29394531250001,1476.3623046875,129.69140625000003,NOT,not_relevant
1474.20703125,110.29394531250001,1530.244140625,131.84667968750003,SEND,not_relevant
1521.623046875,108.138671875,1586.28125,131.84667968750003,CASH.,not_relevant
1579.8154296875,105.9833984375,1629.38671875,131.84667968750003,NSF,not_relevant
1620.765625,108.138671875,1685.423828125,131.84667968750003,checks,not_relevant
1676.802734375,108.138671875,1715.59765625,134.00195312499997,willt,not_relevant
1706.9765625,110.29394531250001,1734.9951171875,131.84667968750003,be,not_relevant
1728.529296875,110.29394531250001,1791.0322265625,134.00195312499997,treated,not_relevant
1782.4111328125,110.29394531250001,1827.671875,136.15722656249997,asaf,not_relevant
1819.05078125,114.60449218750004,1875.087890625,136.15722656249997,failure,not_relevant
1866.466796875,114.60449218750004,1959.1435546875,138.31249999999997,torespond.,not_relevant
1918.193359375,95.20703125000003,1976.3857421875,123.2255859375,amy,not_relevant
1131.5185546875,125.380859375,1209.1083984375,149.08886718750003,Payment,not_relevant
1133.673828125,144.77832031250003,1189.7109375,166.33105468750003,obtain,not_relevant
1185.400390625,146.93359375000003,1202.642578125,164.17578125000003,a,not_relevant
1196.1767578125,142.623046875,1273.7666015625,166.33105468750003,payment,not_relevant
1204.7978515625,127.53613281250001,1250.05859375,146.93359375000003,Plan.,not_relevant
1245.748046875,125.380859375,1308.2509765625,149.08886718750003,ladmit,not_relevant
1265.1455078125,142.623046875,1310.40625,168.48632812499997,plan,not_relevant
1301.78515625,127.53613281250001,1409.548828125,153.39941406249997,responsibility,not_relevant
1303.9404296875,144.77832031250003,1342.7353515625,164.17578125000003,and,not_relevant
1336.26953125,142.623046875,1379.375,168.48632812499997,how,not_relevant
1372.9091796875,146.93359375000003,1398.7724609375,166.33105468750003,tos,not_relevant
1390.1513671875,144.77832031250003,1450.4990234375,170.64160156249997,submit,not_relevant
1400.927734375,129.69140625000003,1463.4306640625,153.39941406249997,forthei,not_relevant
1444.033203125,146.93359375000003,1523.7783203125,170.64160156249997,evidence,not_relevant
1454.8095703125,129.69140625000003,1538.865234375,153.39941406249997,infraction.,not_relevant
1517.3125,144.77832031250003,1571.1943359375,172.79687499999997,ofmy,not_relevant
1541.0205078125,129.69140625000003,1609.9892578125,153.39941406249997,requestt,not_relevant
1564.728515625,146.93359375000003,1627.2314453125,170.64160156249997,currenti,not_relevant
1603.5234375,131.84667968750003,1635.8525390625,151.24414062499997,the,not_relevant
